lq_name,epoch,unit_guid,unit_name,unit_class,start_time,damage_state,parent_unit_guid,parent_unit_name,target_unit_guid,target_unit_name
自动想定机型-图2米3苏4-反辐射,1,d7d270d9-5715-402e-9a46-1ba18c589ac3,米格-29K #4,米格-29K型“支点-D”舰载战斗机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,9e6c6481-ae1e-462b-9fdf-2c0dbefbfbdc,MQ-8C #2,MQ-8C型火力-X无人机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,f472b7ee-f931-4ad7-bd69-28ead40f3caa,米格-29K #2,米格-29K型“支点-D”舰载战斗机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,2786e7ec-6902-4c44-9b57-56513ada72fa,图22* #4,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,b705ae5a-96c6-4d72-88bf-c16c9db5fe7b,MQ-9B #2,MQ-9B型“收割者”无人机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,8744f161-8754-4b40-9540-da88d6b89513,图22* #7,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,6a9296de-bacd-4144-809d-2594e73d4235,图-22 #2,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,737fd795-8cb7-46ac-88eb-1bd330a7ccb9,图22* #3,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,4ca5e0f3-4e7b-486e-8c0f-58bed7a500e5,图22* #8,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,df50b52d-6990-45b9-8c7d-03150c9e13e0,图22* #9,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,a0bfdb37-d2c4-4cc6-a833-a3820e2c1780,图22* #10,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,d9a9af0d-ebdf-470f-8ba9-2ecff75940dd,导弹1 #2,KGD弹药投射型无人机,1644550410,1644551282,0,,,,
自动想定机型-图2米3苏4-反辐射,1,d11510af-5dc4-4a6e-bced-f1bf70b5e215,图22* #1,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,69e2e3e9-73a1-4405-8b7a-de543fac488b,导弹1 #1,KGD弹药投射型无人机,1644550410,1644551371,0,,,,
自动想定机型-图2米3苏4-反辐射,1,909aa5df-2129-46ec-be53-92e6a74a2746,MQ-8C #1,MQ-8C型火力-X无人机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,07b15e5e-52c5-449a-9881-b638bcf0dd04,B-1B #1,B-1B型“枪骑兵”轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,7a7586c2-fc20-417b-8891-8483e760d481,MQ-25 #1,MQ-25A型“黄貂鱼”舰载无人攻击机],1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,ac663370-d9e6-47d3-a143-6660c018e30b,图22* #11,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,5467587c-a9d2-4805-91f2-7d6e343d4471,E-2C #1,"E-2C型""鹰眼""2000预警机",1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,bcecab0a-6941-4db0-8fb9-49ae9a8a6549,F-35C #1,F-35C型“闪电II”战斗机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,b6ab7a14-feb4-4055-b522-2ae09f08d172,F/A-18 #2,F/A-18A+ 型“大黄蜂”战斗机,1644550410,1644551234,0,,,,
自动想定机型-图2米3苏4-反辐射,1,771caa6e-00fc-495c-959a-dd633a14d53b,图22* #5,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,c796905d-85cc-4d2f-b24c-186db2e32f84,苏-34 #4,苏-34“鸭嘴兽”攻击机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,02b52b1c-1b47-4bf9-8517-06a2a690a731,苏-34 #3,苏-34“鸭嘴兽”攻击机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,4e4860cd-3c50-4e7c-bce9-15c71905e24d,A-50U #1,A-50U型预警机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,42f60fd1-226c-457e-ae66-48b9ed980136,B-2A #1,B-2A型“幽灵”隐形轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,427ec7f8-1fac-487b-bc6f-f56778cb2dae,B-52H #1,"B-52H型""同温层堡垒""轰炸机",1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,5d8c032f-f77f-42d1-83ea-d0e4f564c55e,米格-29-2 #2,米格-29KUB “支点D”战斗机,1644550410,1644551232,0,,,,
自动想定机型-图2米3苏4-反辐射,1,938e5016-6e7e-49c7-b4b8-22ff8356caa8,护航UAV #2,KGD弹药投射型无人机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,db248fec-f30f-4fbf-8608-4e21b6acfba3,苏-34 #2,苏-34“鸭嘴兽”攻击机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,cc3a66c0-0959-4c82-8aab-9efa9955933b,ea-18 #1,EA-18G 咆哮者,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,8d0b164a-e4c1-4bc0-9eb1-847249f14b56,F-35C #2,F-35C型“闪电II”战斗机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,b75e894f-f62e-4b3e-aa0e-5a15510a01d6,米格-29K #1,米格-29K型“支点-D”舰载战斗机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,b0eb9e6d-6ab7-4ed4-a2db-30e3f7e1f3e7,伊尔-22  #1,伊尔-22PP型“伐木人”电子情报收集,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,8af30eb1-7423-4552-b484-7797099e137b,F/A-18 #4,F/A-18A+ 型“大黄蜂”战斗机,1644550410,1644551368,0,,,,
自动想定机型-图2米3苏4-反辐射,1,88f83b76-c455-441d-907a-c3d0399d6393,苏-34 #1,苏-34“鸭嘴兽”攻击机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,b60f47a2-7913-4f5a-b039-8bbe29000f01,MQ-9B #1,MQ-9B型“收割者”无人机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,9e94718f-bd3a-4fbb-8217-6326cb87c895,RQ-4B #1,RQ-4B型”全球鹰“无人机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,8993e023-89ae-49a1-b134-14e50a19eb04,米格-29-2 #3,米格-29KUB “支点D”战斗机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,a91dea35-f0cd-4ddc-a60d-51196dd2c89c,米格-29K #3,米格-29K型“支点-D”舰载战斗机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,dd3c8886-162f-4c11-87d1-79e5277ccc45,图22* #2,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,b7bda9c0-415f-420f-ad32-a676c136dc0c,F/A-18 #3,F/A-18A+ 型“大黄蜂”战斗机,1644550410,1644551245,0,,,,
自动想定机型-图2米3苏4-反辐射,1,c9c8a95b-7905-44b0-8a80-9cc6c3c46cd8,米格-29-2 #1,米格-29KUB “支点D”战斗机,1644550410,1644551217,0,,,,
自动想定机型-图2米3苏4-反辐射,1,197e92d6-9cf2-4a59-995a-7bfb62637ebe,F/A-18 #1,F/A-18A+ 型“大黄蜂”战斗机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,3ffff5c6-5fb9-48a2-a573-f247825a2937,RQ-21 #1,RQ-21A型“黑杰克”Blk II无人机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,2f8bf73f-8d4f-4793-b3cd-6849485cafd7,图22* #6,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,d0434bdd-b1cb-42f6-9bdc-1e5672f38d95,护航UAV #1,KGD弹药投射型无人机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,2571e7ab-cfca-4147-904f-111c74c771c4,图-22 #1,图-22M-3M型“逆火”C轰炸机,1644550410,,0,,,,
自动想定机型-图2米3苏4-反辐射,1,df6c9f0e-5ea6-4c50-8af5-fc00531caca4,DDG 1,DDG 51 Arleigh Burke [Arleigh Burke Flight I],1644550410,,100,,,,
自动想定机型-图2米3苏4-反辐射,1,efeacf00-b09b-4b43-96be-62fd28585d7c,AS-4 Kitchen D [Kh-32] #130,AS-4 Kitchen D [Kh-32],1644551033,1644551342,0,6a9296de-bacd-4144-809d-2594e73d4235,图-22 #2,df6c9f0e-5ea6-4c50-8af5-fc00531caca4,DDG 1
自动想定机型-图2米3苏4-反辐射,1,ff39ab87-37f2-4108-842d-5d33a463b1cc,AS-4 Kitchen D [Kh-32] #129,AS-4 Kitchen D [Kh-32],1644551033,1644551326,0,2571e7ab-cfca-4147-904f-111c74c771c4,图-22 #1,df6c9f0e-5ea6-4c50-8af5-fc00531caca4,DDG 1
自动想定机型-图2米3苏4-反辐射,1,93a46830-e700-41a9-8619-b02862b12b28,AIM-120C-5型先进中程空空导弹 P3I.2 #131,AIM-120C-5型先进中程空空导弹 P3I.2,1644551098,1644551189,0,8af30eb1-7423-4552-b484-7797099e137b,F/A-18 #4,d9a9af0d-ebdf-470f-8ba9-2ecff75940dd,导弹1 #2
自动想定机型-图2米3苏4-反辐射,1,2dc16b18-d5fb-47c5-8746-bf4ff86f6065,AIM-120C-5型先进中程空空导弹 P3I.2 #132,AIM-120C-5型先进中程空空导弹 P3I.2,1644551124,1644551217,0,8af30eb1-7423-4552-b484-7797099e137b,F/A-18 #4,69e2e3e9-73a1-4405-8b7a-de543fac488b,导弹1 #1
自动想定机型-图2米3苏4-反辐射,1,0dec926a-8278-4219-8328-4908b17e17c4,AIM-120D型先进中程空空导弹 P3I.4 #133,AIM-120D型先进中程空空导弹 P3I.4,1644551125,1644551213,0,8d0b164a-e4c1-4bc0-9eb1-847249f14b56,F-35C #2,c9c8a95b-7905-44b0-8a80-9cc6c3c46cd8,米格-29-2 #1
自动想定机型-图2米3苏4-反辐射,1,615ba9e3-e2d0-4e7c-bf53-33b855cfc299,AIM-120D型先进中程空空导弹 P3I.4 #134,AIM-120D型先进中程空空导弹 P3I.4,1644551130,1644551217,0,8d0b164a-e4c1-4bc0-9eb1-847249f14b56,F-35C #2,c9c8a95b-7905-44b0-8a80-9cc6c3c46cd8,米格-29-2 #1
自动想定机型-图2米3苏4-反辐射,1,5f9b61ce-8a9b-4671-9d3c-91676ea26ea6,AIM-120D型先进中程空空导弹 P3I.4 #135,AIM-120D型先进中程空空导弹 P3I.4,1644551136,1644551242,0,8d0b164a-e4c1-4bc0-9eb1-847249f14b56,F-35C #2,5d8c032f-f77f-42d1-83ea-d0e4f564c55e,米格-29-2 #2
自动想定机型-图2米3苏4-反辐射,1,1e389b9b-b144-4b50-95f3-7a0f03c06045,AIM-120D型先进中程空空导弹 P3I.4 #136,AIM-120D型先进中程空空导弹 P3I.4,1644551141,1644551232,0,8d0b164a-e4c1-4bc0-9eb1-847249f14b56,F-35C #2,5d8c032f-f77f-42d1-83ea-d0e4f564c55e,米格-29-2 #2
自动想定机型-图2米3苏4-反辐射,1,a4ad41e2-dcaf-48a2-80f0-c62f3b2ffacf,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12] #137,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12],1644551142,1644551234,0,5d8c032f-f77f-42d1-83ea-d0e4f564c55e,米格-29-2 #2,b6ab7a14-feb4-4055-b522-2ae09f08d172,F/A-18 #2
自动想定机型-图2米3苏4-反辐射,1,2f067cae-7ccf-412b-8cd8-44d95ae98012,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12] #138,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12],1644551143,1644551238,0,c9c8a95b-7905-44b0-8a80-9cc6c3c46cd8,米格-29-2 #1,197e92d6-9cf2-4a59-995a-7bfb62637ebe,F/A-18 #1
自动想定机型-图2米3苏4-反辐射,1,3db19bad-aa67-481f-a18f-af4dae8b8a4a,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12] #139,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12],1644551147,1644551242,0,5d8c032f-f77f-42d1-83ea-d0e4f564c55e,米格-29-2 #2,b6ab7a14-feb4-4055-b522-2ae09f08d172,F/A-18 #2
自动想定机型-图2米3苏4-反辐射,1,8b18e9b4-954d-4f7a-9dfd-9546cd7db5d2,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12] #140,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12],1644551148,1644551237,0,c9c8a95b-7905-44b0-8a80-9cc6c3c46cd8,米格-29-2 #1,197e92d6-9cf2-4a59-995a-7bfb62637ebe,F/A-18 #1
自动想定机型-图2米3苏4-反辐射,1,e7d95143-87b7-459e-9b34-2497a06de50a,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12] #141,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12],1644551153,1644551245,0,5d8c032f-f77f-42d1-83ea-d0e4f564c55e,米格-29-2 #2,,
自动想定机型-图2米3苏4-反辐射,1,5db2b72e-355a-49af-9d88-a0156c92e86c,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12] #142,R-77-1型“蝰蛇”空空导弹[RVV-SD，北约代号：AA-12],1644551158,1644551253,0,5d8c032f-f77f-42d1-83ea-d0e4f564c55e,米格-29-2 #2,,
自动想定机型-图2米3苏4-反辐射,1,7fa926f5-2f89-4ba5-ada7-81b8f466c080,AIM-120D型先进中程空空导弹 P3I.4 #143,AIM-120D型先进中程空空导弹 P3I.4,1644551188,1644551282,0,bcecab0a-6941-4db0-8fb9-49ae9a8a6549,F-35C #1,d9a9af0d-ebdf-470f-8ba9-2ecff75940dd,导弹1 #2
自动想定机型-图2米3苏4-反辐射,1,b45ff912-870d-4b25-a802-08b11fa9d290,RIM-162A #144,RIM-162A,1644551302,1644551326,0,df6c9f0e-5ea6-4c50-8af5-fc00531caca4,DDG 1,ff39ab87-37f2-4108-842d-5d33a463b1cc,AS-4 Kitchen D [Kh-32] #129
